PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Queen,puzzle_ref
J7ZJL,8/5Rk1/4n3/2p4p/7P/1p2q1PK/1b6/5Q2 b - - 0 48,g7g6 f1f5 g6h6 f7h7,1537,75,82,279,endgame mate mateIn2 short,https://lichess.org/JbMK9LZI/black#96,,True,https://lichess.org/training/J7ZJL
J8JSi,1r2R1k1/1b3r1p/1p4pQ/p1pP4/2P3q1/1P4P1/P5BP/4R2K b - - 8 32,b8e8 e1e8 f7f8 e8f8,804,94,63,69,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/68CBuTFH/black#64,,True,https://lichess.org/training/J8JSi
J8T27,rn4k1/ppN1qr1p/3p1ppQ/8/3p4/2PP3P/P4PP1/R3R1K1 b - - 1 19,e7c7 e1e8 f7f8 e8f8,630,101,77,310,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/Td0FXRek/black#38,Modern_Defense Modern_Defense_Standard_Defense,True,https://lichess.org/training/J8T27
JBTEa,4R3/k1p5/ppQ5/3p4/5q1r/PP6/K1P5/8 b - - 1 43,f4d6 e8a8,804,77,92,278,endgame mate mateIn1 oneMove,https://lichess.org/asO0zaj8/black#86,,True,https://lichess.org/training/JBTEa
JC0pP,3qk1R1/p2r1r2/1p1b4/2pQ4/8/1P5P/1P6/6RK b - - 1 37,f7f8 d5e6 d8e7 g8f8 e8f8 g1g8,2115,116,25,15,attraction exposedKing long master mate mateIn3 middlegame pin,https://lichess.org/jXjacFRD/black#74,,True,https://lichess.org/training/JC0pP
JDYhg,r1b1kbr1/pp3p1p/n1p1pQ2/8/2q5/2N5/PPP1N2P/2KR3R b q - 0 13,f8g7 d1d8,1087,108,72,64,mate mateIn1 middlegame oneMove,https://lichess.org/PbuYucPx/black#26,Caro-Kann_Defense Caro-Kann_Defense_Rasa-Studier_Gambit,True,https://lichess.org/training/JDYhg
JF1QV,r5k1/1pq3b1/p2p2Q1/2pP2p1/b1P1R3/8/1P3PPP/4R1K1 b - - 1 25,a4c2 e4e8 a8e8 e1e8,1307,78,93,9193,kingsideAttack mate mateIn2 middlegame pin short,https://lichess.org/h9yktvRG/black#50,,True,https://lichess.org/training/JF1QV
JG9MN,r1Rk4/pp4r1/3pQ1pp/4b3/3p4/8/Pq3PPP/2R4K b - - 2 35,a8c8 c1c8,1491,88,79,1326,endgame mate mateIn1 oneMove,https://lichess.org/BpGrEvwP/black#70,,True,https://lichess.org/training/JG9MN
JGk8b,3r2k1/p2q1p1P/1p2nQp1/3p4/3P1pP1/2P2P2/PP4K1/4R3 b - - 0 30,g8h7 e1h1 h7g8 h1h8,1319,75,98,4576,endgame mate mateIn2 short,https://lichess.org/aJ5E7Bnb/black#60,,True,https://lichess.org/training/JGk8b
JIdZe,3r1rk1/p5R1/4p3/3nN3/8/7R/q4PPP/3Q2K1 b - - 0 25,g8g7 d1g4 g7f6 h3h6 f6e5 h6e6,2171,86,89,574,exposedKing long mate mateIn3 middlegame sacrifice,https://lichess.org/dCFSqswH/black#50,,True,https://lichess.org/training/JIdZe
JJgAR,1k1R4/p1r4p/Qpn2p2/4q3/4p3/7P/5PP1/3R2K1 b - - 6 33,c6d8 d1d8 c7c8 d8c8,739,85,92,355,endgame mate mateIn2 short,https://lichess.org/ogOAwDHg/black#66,,True,https://lichess.org/training/JJgAR
JLAe4,1k1B2n1/p1p5/1p5r/1R6/3PQ3/3P1qP1/P4P1K/1R6 w - - 1 32,h2g1 h6h1,1430,76,84,287,mate mateIn1 middlegame oneMove,https://lichess.org/E3hLslfC#63,,True,https://lichess.org/training/JLAe4
JLz1B,r4rk1/ppp1pp1p/4b2Q/6P1/5R2/7P/PP3RPK/1q6 b - - 3 24,b1a2 g5g6 f7g6 f4f8 a8f8 f2f8,1689,77,92,1205,long mate mateIn3 middlegame,https://lichess.org/anqxTFxW/black#48,,True,https://lichess.org/training/JLz1B
