PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Rook_Knight,puzzle_ref
7yb3C,8/4P3/8/5B2/R5P1/5kn1/4r3/6K1 w - - 3 57,a4e4 e2g2,1885,83,91,87,endgame mate mateIn1 oneMove,https://lichess.org/34Izp6er#113,,True,https://lichess.org/training/7yb3C
8APAD,5k2/5p1p/8/3N2p1/1pP1p3/1P4P1/r2r1n1P/1R3RK1 w - - 0 33,d5b4 f2h3 g1h1 d2h2,987,78,94,64,discoveredAttack endgame mate mateIn2 short,https://lichess.org/W2koeHnP#65,,True,https://lichess.org/training/8APAD
8Jjia,2k5/R5p1/1NB1p1p1/4rn2/1b6/8/5K2/8 b - - 1 40,c8b8 a7b7,1514,76,96,1394,endgame mate mateIn1 oneMove,https://lichess.org/OIcAlWgw/black#80,,True,https://lichess.org/training/8Jjia
8Omlu,1RR5/5p2/2P2k2/3Pp2n/4P3/2N2P1p/2r5/7K w - - 0 40,c8h8 h5g3 h1g1 c2g2,1854,75,100,123,endgame mate mateIn2 short,https://lichess.org/jde7OYVc#79,,True,https://lichess.org/training/8Omlu
8PkOa,3R4/P1R5/4pp2/7p/2p5/3nk2P/r7/3K4 w - - 5 46,a7a8q a2d2,1580,76,94,1474,endgame master mate mateIn1 oneMove,https://lichess.org/1o891jac#91,,True,https://lichess.org/training/8PkOa
8Voj4,8/1P6/6p1/1P6/6P1/3nk3/4r3/3K4 w - - 1 49,b7b8q e2d2,1597,79,91,836,endgame master mate mateIn1 oneMove,https://lichess.org/Ol6ZJhHx#97,,True,https://lichess.org/training/8Voj4
8Zp2o,Q7/2p3pk/pp5p/8/4nPP1/5N1P/Pq2r3/3R1R1K w - - 1 31,a8c8 e4g3 h1g1 e2g2,1470,75,99,1588,fork mate mateIn2 middlegame short,https://lichess.org/IdWGlYlW#61,,True,https://lichess.org/training/8Zp2o
8aqAc,r3N1kr/3qbR1p/p1b5/1p1pP1Q1/3B4/8/P1P3PP/5RK1 b - - 2 25,e7g5 f7f8,1387,97,67,88,master mate mateIn1 middlegame oneMove,https://lichess.org/XWb7JcMC/black#50,,True,https://lichess.org/training/8aqAc
8kARM,5b1r/p2p1NRk/brp1p2B/p3Pp1P/3P4/2P1QP2/PP5q/2K3R1 b - - 4 29,f8g7 g1g7,1306,76,100,205,mate mateIn1 middlegame oneMove,https://lichess.org/mtTIcw8F/black#58,,True,https://lichess.org/training/8kARM
8mNPO,8/1r3P2/8/3k4/P7/2bP4/K1n5/8 w - - 1 69,f7f8q b7b2,1092,77,100,100,endgame mate mateIn1 oneMove,https://lichess.org/0NErvHSg#137,,True,https://lichess.org/training/8mNPO
8oeta,4k3/7R/2N2pp1/3Bp3/2P5/4bPP1/1n3r1P/3K4 w - - 7 36,d1e1 b2d3 e1d1 f2d2,1669,288,100,5,endgame mate mateIn2 short,https://lichess.org/gGcrzRoi#71,,True,https://lichess.org/training/8oeta
8sGft,8/5rk1/3p2pb/3P4/1Q2p3/3n3R/PP2K1PP/8 w - - 3 37,b4d6 f7f2 e2d1 f2d2,1822,74,80,87,endgame mate mateIn2 short,https://lichess.org/wYH27TJl#73,,True,https://lichess.org/training/8sGft
8vD8f,8/2k1p3/p1p5/2Np4/2nP1Pnp/4r3/PP1NK3/R6R w - - 3 39,e2f1 c4d2 f1g2 e3g3,1484,75,100,214,hangingPiece mate mateIn2 middlegame short,https://lichess.org/yAjh8TJM#77,,True,https://lichess.org/training/8vD8f
95naD,6k1/1B4p1/p6r/P1b2p2/8/1P1nNnP1/5P1P/R2R2K1 w - - 6 33,g1g2 h6h2 g2f1 h2f2,1665,76,93,2274,mate mateIn2 middlegame short,https://lichess.org/K7IaO2Us#65,,True,https://lichess.org/training/95naD
977i5,6k1/7p/1qp3p1/2p1Q1n1/2P2P2/1P2P1P1/r2r2N1/1R3RK1 w - - 0 28,g2h4 g5h3 g1h1 d2h2,1438,75,98,743,mate mateIn2 middlegame short,https://lichess.org/w6ox1ZTW#55,,True,https://lichess.org/training/977i5
988py,8/4RR2/2P5/3k4/4n3/7P/1r1r2P1/7K w - - 3 45,c6c7 e4g3 h1g1 d2g2,1903,80,88,210,endgame mate mateIn2 short,https://lichess.org/XpShy0g4#89,,True,https://lichess.org/training/988py
